Date,Open,High,Low,Close,Volume
07/31/2023,"133.01","133.83","132.13","133.11","18,381,891"
08/01/2023,"130.86","132.92","130.75","131.89","22,219,010"
08/02/2023,"129.84","130.42","127.85","128.64","22,705,779"
08/03/2023,"128.37","129.77","127.78","128.77","15,086,130"
08/04/2023,"129.60","131.93","128.32","128.54","20,521,850"
08/07/2023,"129.51","132.06","129.43","131.94","17,621,039"
08/08/2023,"130.98","131.94","130.13","131.84","16,835,949"
08/09/2023,"132.19","132.47","129.51","130.15","17,745,221"
08/10/2023,"131.97","132.65","130.04","130.21","17,855,680"
08/11/2023,"129.20","130.44","128.75","130.17","15,205,470"
08/14/2023,"129.85","131.91","129.59","131.83","17,526,199"
08/15/2023,"131.59","131.99","129.82","130.27","14,769,170"
08/16/2023,"129.28","130.90","128.46","129.11","17,548,359"
08/17/2023,"130.45","132.49","129.85","130.46","23,665,561"
08/18/2023,"129.06","129.83","127.00","128.11","23,627,199"
08/21/2023,"127.85","129.26","127.16","128.93","21,851,070"
08/22/2023,"129.13","130.95","128.93","129.69","15,569,370"
08/23/2023,"130.85","134.07","130.51","133.21","26,497,029"
08/24/2023,"134.73","134.97","130.30","130.42","18,680,381"
08/25/2023,"130.14","131.40","128.04","130.69","20,678,100"
08/28/2023,"132.08","133.24","130.85","131.79","16,715,471"
08/29/2023,"133.00","137.30","132.98","135.49","30,803,270"
08/30/2023,"135.57","137.25","135.02","136.93","21,773,359"
08/31/2023,"137.05","138.40","136.82","137.35","28,147,850"
09/01/2023,"138.43","138.58","135.94","136.80","16,671,650"
09/05/2023,"136.44","137.37","135.56","136.71","17,730,221"
09/06/2023,"137.02","137.48","134.69","135.37","15,814,330"
09/07/2023,"134.60","136.58","133.96","136.20","16,975,961"
09/08/2023,"135.87","137.52","135.87","137.20","17,820,010"
09/11/2023,"137.38","138.26","136.55","137.74","17,180,760"
09/12/2023,"137.13","137.64","135.93","136.07","15,212,930"
09/13/2023,"135.90","137.70","134.93","137.50","16,394,920"
09/14/2023,"138.39","139.55","137.06","138.99","19,064,609"
09/15/2023,"138.80","139.36","137.18","138.30","48,958,840"
09/18/2023,"137.63","139.93","137.63","138.96","16,233,590"
09/19/2023,"138.25","139.18","137.50","138.83","15,484,640"
09/20/2023,"138.83","138.84","134.52","134.59","21,473,529"
09/21/2023,"132.39","133.19","131.09","131.36","22,058,381"
09/22/2023,"131.68","133.01","130.51","131.25","17,355,279"
09/25/2023,"130.77","132.22","130.03","132.17","14,650,030"
09/26/2023,"130.91","131.41","128.19","129.45","20,378,789"
09/27/2023,"129.44","131.72","129.38","131.46","18,764,199"
09/28/2023,"130.69","134.18","130.69","133.13","18,201,391"
09/29/2023,"134.08","134.89","131.32","131.85","23,237,340"
10/02/2023,"132.16","135.36","132.07","135.17","19,210,391"
10/03/2023,"134.93","135.24","132.82","133.30","19,628,740"
10/04/2023,"133.66","136.57","133.43","136.27","22,847,990"
10/05/2023,"136.13","136.50","134.46","135.99","15,922,940"
10/06/2023,"134.94","139.19","134.94","138.73","20,826,680"
10/09/2023,"137.99","139.97","136.70","139.50","16,599,100"
10/10/2023,"139.51","140.74","138.43","139.20","19,554,920"
10/11/2023,"139.85","142.22","139.84","141.70","20,146,340"
10/12/2023,"142.16","142.38","139.45","140.29","18,173,109"
10/13/2023,"140.65","141.34","137.97","138.58","19,447,570"
10/16/2023,"139.73","140.91","139.32","140.49","17,345,561"
10/17/2023,"140.03","141.25","138.53","140.99","17,424,020"
10/18/2023,"140.75","141.99","138.71","139.28","18,304,869"
10/19/2023,"139.80","141.01","138.60","138.98","21,831,180"
10/20/2023,"138.59","139.04","136.25","136.74","24,970,260"
10/23/2023,"136.23","139.02","135.11","137.90","20,780,670"
10/24/2023,"139.16","140.71","138.75","140.12","26,535,199"
10/25/2023,"129.77","130.10","126.09","126.67","58,796,070"
10/26/2023,"124.47","125.46","122.32","123.44","33,907,359"
10/27/2023,"124.03","124.44","121.46","123.40","37,367,672"
10/30/2023,"124.46","126.55","123.88","125.75","24,165,631"
10/31/2023,"126.27","126.56","123.93","125.30","21,123,420"
11/01/2023,"125.34","127.74","124.93","127.57","26,536,600"
